policy,sessionId,seed,completed,abortedByLoopCap,abortedByStagnation,exploreCount,restCount,craftWeaponCount,craftArmorCount,craftSteelCount,craftMithrilCount,consecutiveWeaponCraftMax,armorLagMax,resourceConversionCount,convBlockedByForgeLevel,convBlockedByOre,convBlockedByTargetInactive,convBlockedByTargetMet,enhanceBlockedByPairMissing,enhanceBlockedByMaterials,forgeUpgradeCount,enhanceCountTotal,enhance0to5,enhance6to9,enhance10plus,plus6Reached,plus6ReachedLogicalTimeMs,plus1ReachedLogicalTimeMs,plus2ReachedLogicalTimeMs,plus3ReachedLogicalTimeMs,plus4ReachedLogicalTimeMs,plus5ReachedLogicalTimeMs,plus7ReachedLogicalTimeMs,plus8ReachedLogicalTimeMs,plus9ReachedLogicalTimeMs,plus10ReachedLogicalTimeMs,plus11ReachedLogicalTimeMs,plus12ReachedLogicalTimeMs,floor1Reached,floor1FirstExploreLogicalTimeMs,floor1ClearLogicalTimeMs,floor2Reached,floor2FirstExploreLogicalTimeMs,floor2ClearLogicalTimeMs,floor3Reached,floor3FirstExploreLogicalTimeMs,floor3ClearLogicalTimeMs,enhanceSuccessRateTotal,enhanceSuccessRate0to5,enhanceSuccessRate6to9,enhanceSuccessRate10plus,enhanceExpectedRateTotal,enhanceExpectedRate0to5,enhanceExpectedRate6to9,enhanceExpectedRate10plus,logicalExploreTimeMs,logicalTownTimeMs,logicalPlayTimeMs,ironEarned,ironSpent,steelEarned,steelSpent,mithrilEarned,mithrilSpent,finalBestPlus,finalAttack,finalMaxHp
conservative,conservative-033,20260342,true,false,false,58,57,135,126,1,4,5,10,5,0,252,128,248,352,16,3,228,222,6,0,true,905260,26040,61980,121000,255680,634320,908460,947080,969780,,,,true,0,,true,124000,,true,912660,992880,0.8941176470588236,0.9061224489795918,0.6,0,0.9049803921568605,0.9170204081632631,0.61,0,612280,380600,992880,2221,2129,769,249,165,10,9,10,55
conservative,conservative-034,20260343,true,false,false,47,46,116,97,1,4,5,25,5,0,135,92,283,298,4,3,193,187,6,0,true,729820,26040,61980,121000,194640,411600,750920,773100,793400,,,,true,0,,true,124000,,true,757120,814900,0.9368932038834952,0.9444444444444444,0.75,0,0.90514563106796,0.9156565656565646,0.6449999999999998,0,506100,308800,814900,1858,1763,635,237,126,8,9,10,55
conservative,conservative-035,20260344,true,false,false,55,54,136,105,1,6,5,32,7,0,4,119,458,323,11,5,203,196,5,2,true,687940,26040,61980,121000,238960,449760,710240,715040,756720,777820,885720,931120,true,0,,true,124000,,true,718440,953020,0.871244635193133,0.9245283018867925,0.5,0.18181818181818182,0.8754077253218879,0.9118396226415092,0.6309999999999999,0.39545454545454545,596620,356400,953020,2431,2337,1029,348,492,127,12,8,70
conservative,conservative-036,20260345,true,false,false,43,42,103,87,1,4,5,17,5,0,84,92,281,253,18,3,171,165,6,0,true,655480,26040,61980,121000,194640,357840,675380,695420,720120,,,,true,0,,true,124000,,true,682380,742420,0.9344262295081968,0.9482758620689655,0.6666666666666666,0,0.9002732240437152,0.9152873563218386,0.6099999999999999,0,464020,278400,742420,1708,1616,591,243,131,9,9,10,55
conservative,conservative-037,20260346,true,false,false,54,53,146,118,1,4,5,31,5,0,130,100,392,341,20,3,230,223,7,0,true,874500,26040,86380,146460,221960,383560,877700,899080,921780,948080,,,true,0,,true,151060,,true,883900,965180,0.8949416342412452,0.9065040650406504,0.6363636363636364,0,0.9029182879377409,0.9163414634146319,0.6027272727272727,0,594580,370600,965180,2234,2139,779,255,172,11,10,11,55
conservative,conservative-038,20260347,true,false,false,65,64,138,162,1,4,5,18,5,0,122,172,427,413,6,3,264,257,7,0,true,1067440,26040,61980,181480,348540,551140,1070640,1091620,1114320,1118320,,,true,0,,true,186080,,true,1077240,1135020,0.8949152542372881,0.8954703832752613,0.875,0,0.908508474576269,0.916411149825782,0.6249999999999999,0,701820,433200,1135020,2508,2418,819,239,126,8,10,11,55
conservative,conservative-039,20260348,true,false,false,42,41,87,81,1,4,5,16,5,0,2,106,304,230,11,3,149,144,5,0,true,636040,26040,61980,151640,228860,422700,639240,660220,683720,,,,true,0,,true,171620,,true,644640,703220,0.9197530864197531,0.9230769230769231,0.8333333333333334,0,0.9064814814814814,0.9169230769230771,0.6349999999999999,0,445020,258200,703220,1537,1447,510,228,126,6,9,9,55
conservative,conservative-040,20260349,true,false,false,50,49,104,102,1,6,5,6,7,0,132,152,210,285,10,3,181,174,7,0,true,747400,26040,61980,134000,309540,471140,769700,791340,816040,820040,,,true,0,,true,137000,,true,778300,837140,0.9187817258883249,0.93048128342246,0.7,0,0.9008121827411156,0.9163636363636354,0.6099999999999999,0,524940,312200,837140,1871,1772,635,349,131,10,10,10,60
conservative,conservative-041,20260350,true,false,false,58,57,135,156,1,4,5,3,5,0,2,96,590,377,17,3,251,244,7,0,true,931340,26040,61980,121000,208700,403340,951240,976880,999580,1025080,,,true,0,,true,124000,,true,960240,1042580,0.8869257950530035,0.9003690036900369,0.5833333333333334,0,0.9038515901060046,0.9166420664206617,0.6149999999999999,0,638780,403800,1042580,2434,2324,854,260,177,12,10,10,60
conservative,conservative-042,20260351,true,false,false,49,48,97,103,1,6,5,18,7,0,4,125,361,275,8,3,176,169,7,0,true,727900,26040,61980,135320,254080,468880,747800,773840,794540,799740,,,true,0,,true,140320,,true,758000,816840,0.9072164948453608,0.9135135135135135,0.7777777777777778,0,0.9028865979381436,0.9164864864864859,0.6233333333333332,0,511240,305600,816840,1799,1702,607,343,131,9,10,11,55
